Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
8/3/2023 4:57,8/3/2023 5:11,HT129,WL231,EX201,ST_8_370_1,366.845,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,114.5,128,89%,128,0.626,0.011,0.723,Shovel Assignment,Manual Assignment
8/3/2023 4:57,8/3/2023 5:12,HT152,EX206,EX206,ST_2_250_1,242.532,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,224.3,233,96%,233,0.511,0.022,0.991,Shovel Assignment,Manual Assignment
8/3/2023 4:58,8/3/2023 5:05,HT134,EX204,EX204,ST_4_400_1,396.964,4400671HG-C1,HG,CRUSHER,CRUSHER,135.5,128,106%,128,0.437,0.014,0.29,Shovel Assignment,Manual Assignment
8/3/2023 4:59,8/3/2023 5:08,HT130,WL222,WL222,ST_4_410_3,406.221,4410630LO1,LO,DLP_511,DLP_511,133.6,128,104%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 5:01,8/3/2023 5:16,HT143,EX206,EX206,ST_2_250_1,243.773,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,223,233,96%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:02,8/3/2023 5:10,HT135,EX204,EX204,ST_4_400_1,397.354,4400671HG-C1,HG,CRUSHER,CRUSHER,108.3,128,85%,128,0.437,0.014,0.29,Dump Assignment,Manual Assignment
8/3/2023 5:03,8/3/2023 5:14,HT149,EX201,EX201,ST_8_370_1,361.163,8370633HG-D1,HG,CRUSHER,CRUSHER,215,233,92%,233,0.626,0.011,0.723,Manual Assignment,Dump Assignment
8/3/2023 5:03,8/3/2023 5:11,HT131,WL222,WL222,ST_4_410_3,406.931,4410630LO1,LO,DLP_511,DLP_511,128.1,128,100%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 5:04,8/3/2023 5:20,HT145,EX206,EX206,ST_2_250_1,250.275,2250618HG-C1,HG,CRUSHER_2,CRUSHER_2,227,233,97%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:04,8/3/2023 5:11,HT123,EX204,EX204,ST_4_400_1,397.444,4400671HG-C1,HG,CRUSHER,CRUSHER,125,128,98%,128,0.437,0.014,0.29,Shovel Assignment,Manual Assignment
8/3/2023 5:06,8/3/2023 5:16,HT121,WL231,WL231,ST_8_370_2,367.478,8370647LG-B1,LG,CRUSHER,CRUSHER,116.1,128,91%,128,0.335,0.019,0.585,Shovel Assignment,Dump Assignment
8/3/2023 5:06,8/3/2023 5:17,HT128,EX201,EX201,ST_8_370_1,365.655,8370633HG-D1,HG,CRUSHER,CRUSHER,111.8,128,87%,128,0.626,0.011,0.723,Shovel Assignment,Dump Assignment
8/3/2023 5:07,8/3/2023 5:21,HT141,EX206,EX206,ST_2_250_1,249.275,2250618HG-C1,HG,CRUSHER,CRUSHER,217.4,233,93%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:09,8/3/2023 5:17,HT136,EX204,EX204,ST_4_400_1,395.703,4400671HG-C1,HG,CRUSHER_2,CRUSHER_2,125.6,128,98%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 5:09,8/3/2023 5:22,HT138,WL231,WL231,ST_8_370_2,364.547,8370647LG-B1,LG,CRUSHER,CRUSHER,122,128,95%,128,0.335,0.019,0.585,Shovel Assignment,Dump Assignment
8/3/2023 5:09,8/3/2023 5:18,HT137,WL222,WL222,ST_4_410_3,406.981,4410630LO1,LO,DLP_511,DLP_511,118.7,128,93%,128,0.472,0.007,0.167,Shovel Assignment,Locked Assignment
8/3/2023 5:10,8/3/2023 5:26,HT144,EX206,EX206,ST_2_250_1,249.875,2250618HG-C1,HG,CRUSHER,CRUSHER,224.2,233,96%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:12,8/3/2023 5:24,HT142,EX201,EX201,ST_8_370_1,367.576,8370633HG-D1,HG,CRUSHER_2,CRUSHER_2,214.1,233,92%,233,0.626,0.011,0.723,Shovel Assignment,Dump Assignment
8/3/2023 5:12,8/3/2023 5:19,HT133,EX204,EX204,ST_4_400_1,397.154,4400671HG-C1,HG,CRUSHER,CRUSHER,134,128,105%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
8/3/2023 5:14,8/3/2023 5:30,HT125,WL231,WL231,ST_8_370_2,366.327,8370647LG-B1,LG,CRUSHER,CRUSHER,118,128,92%,128,0.335,0.019,0.585,Manual Assignment,Dump Assignment
8/3/2023 5:14,8/3/2023 5:31,HT147,EX206,EX206,ST_2_250_1,239.331,2250618HG-C1,HG,CRUSHER,CRUSHER,119.5,233,51%,233,0.511,0.022,0.991,Shovel Assignment,Dump Assignment
8/3/2023 5:16,8/3/2023 5:25,HT134,EX204,EX204,ST_4_400_1,397.084,4400671HG-C1,HG,CRUSHER,CRUSHER,141,128,110%,128,0.437,0.014,0.29,Shovel Assignment,Dump Assignment
