Time Full,Time Empty,Truck,Assigned Shovel,Shovel,Blast,Elevation,Grade,Material,Assigned Dump,Dump,Tonnage,Truck Factor,Truck fill,Computed Tonnage,Grade 1,Grade 2,Grade 3,assignment_reason,dump.assignment_reason
2/1/2023 3:41,2/1/2023 3:48,HT126,EX204,WL231,ST_4_410_4,408.356,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,108.4,128,85,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:41,2/1/2023 3:48,HT135,EX203,EX203,ST_9_TS_2,416.032,5420220LO6,LO,DLP_415_,DLP_415_,122.8,128,96,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:42,2/1/2023 3:53,HT150,EX205,EX205,ST_8_400_3,385.671,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,218.1,233,94,233,0.311,0.009,0.565,Shovel Assignment,Manual Assignment
2/1/2023 3:43,2/1/2023 3:51,HT123,EX203,EX203,ST_9_TS_2,416.332,5420220LO6,LO,DLP_415_,DLP_415_,126.1,128,99,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:43,2/1/2023 3:52,HT124,EX204,EX204,ST_4_410_3,405.276,4410231LO2,LO,DLP_415_,DLP_415_,125.3,128,98,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:43,2/1/2023 3:52,HT129,EX203,WL221,ST_5_420_1,416.112,5420219LO3,LO,DLP_415_,DLP_415_,122.3,128,96,128,0.159,0.001,0.123,Unoptimized Assignment,Locked Assignment
2/1/2023 3:43,2/1/2023 3:56,HT149,EX206,EX206,ST_2_280_1,278.541,2280659HG-D1,HG,CRUSHER,CRUSHER,208.7,233,90,233,0.654,0.006,1.479,Unoptimized Assignment,Dump Target Feed Rate
2/1/2023 3:44,2/1/2023 3:57,HT121,WL222,WL222,ST_2_280_2,280.127,2280647HG-C1,HG,CRUSHER_2,CRUSHER_2,117.8,128,92,128,0.473,0.014,0.916,Unoptimized Assignment,Manual Assignment
2/1/2023 3:45,2/1/2023 3:53,HT133,WL231,WL231,ST_4_410_4,408.196,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,124.2,128,97,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:46,2/1/2023 3:54,HT128,EX204,EX204,ST_4_410_3,405.897,4410231LO2,LO,DLP_415_,DLP_415_,130.7,128,102,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:47,2/1/2023 3:57,HT152,EX205,EX205,ST_8_400_3,383.88,8390602LG-B1,LG,CRUSHER,CRUSHER,226.5,233,97,233,0.311,0.009,0.565,Shovel Assignment,Manual Assignment
2/1/2023 3:48,2/1/2023 3:58,HT130,EX203,EX203,ST_9_TS_2,415.452,5420220LO6,LO,DLP_415_,DLP_415_,122.0,128,95,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:48,2/1/2023 3:59,HT151,EX206,EX206,ST_2_280_1,280.752,2280659HG-D1,HG,CRUSHER,CRUSHER,227.8,233,98,233,0.654,0.006,1.479,Shovel Assignment,Dump Target Feed Rate
2/1/2023 3:49,2/1/2023 3:56,HT131,EX204,EX204,ST_4_410_3,407.437,4410231LO2,LO,DLP_415_,DLP_415_,119.8,128,94,128,0.401,0.007,0.103,Shovel Assignment,Locked Assignment
2/1/2023 3:49,2/1/2023 3:57,HT122,WL231,WL231,ST_4_410_4,408.076,4410010NW1,NW,PAD_FOR_WEST_OFF_STK,PAD_FOR_WEST_OFF_STK,134.1,128,105,128,0.097,0.001,2.233,Shovel Assignment,Locked Assignment
2/1/2023 3:50,2/1/2023 3:58,HT138,EX203,EX203,ST_9_TS_2,418.193,5420220LO6,LO,DLP_415_,DLP_415_,137.2,128,107,128,0.155,0.001,0.024,Manual Assignment,Locked Assignment
2/1/2023 3:51,2/1/2023 4:23,HT146,EX206,EX206,ST_2_280_1,278.251,2280659HG-D1,HG,CRUSHER,CRUSHER,237.2,233,102,233,0.654,0.006,1.479,Unoptimized Assignment,Dump Target Feed Rate
2/1/2023 3:51,2/1/2023 4:19,HT143,EX205,EX205,ST_8_400_3,389.683,8390602LG-B1,LG,CRUSHER_2,CRUSHER_2,218.4,233,94,233,0.311,0.009,0.565,Unoptimized Assignment,Manual Assignment
2/1/2023 3:52,2/1/2023 3:59,HT132,EX204,EX204,ST_4_410_3,406.517,4410231LO2,LO,DLP_415_,DLP_415_,123.0,128,96,128,0.401,0.007,0.103,Unoptimized Assignment,Locked Assignment
2/1/2023 3:54,2/1/2023 4:17,HT137,EX203,EX203,ST_9_TS_2,413.711,5420220LO6,LO,DLP_415_,DLP_415_,123.8,128,97,128,0.155,0.001,0.024,Shovel Assignment,Locked Assignment
2/1/2023 3:54,2/1/2023 4:18,HT147,EX206,EX206,ST_2_280_1,278.912,2280659HG-D1,HG,CRUSHER,CRUSHER,237.3,233,102,233,0.654,0.006,1.479,Unoptimized Assignment,Dump Target Feed Rate
